Date,Precip,MaxAirTemp,RecordMaxTemp,RecordMaxYear,MinAirTemp,RecordMinTemp,RecordMinYear,AvgAirTemp,MaxAirTempTime,MinAirTempTime,MaxRel.Hum.,MinRel.Hum.,Avg.Rel.Hum.,HDD,CDD,GDD,GDD Mod. Sine Wave,Solar Radiation (Langleys),AvgWindDir,AvgWindSpeed,MaxWindSpeed,TimeMaxWindSpeed,MaxSoilTemp2",MinSoilTemp2",AvgSoilTemp2",MaxSoilTemp4",MinSoilTemp4",AvgSoilTemp4",Max50cmAirTemp,Min50cmAirTemp,Avg50cmAirTemp,Max300cmAirTemp,Min300cmAirTemp,Avg300cmAirTemp
10/20/2018,0.13,59.5,83.0,1953,35.3,23.0,1972,48.6,3:35 PM,11:55 PM,94,37,79,16.3,0,0,2.6,261.75,249.851041666667,9.8,19.2,3:45 PM,45.0,42.5,43.7,56.3,54.3,55.1,-,-,-,-,-,-,
10/21/2018,0,46.6,82.0,1953,35.3,21.0,1974,38.8,4:15 PM,0:10 AM,83,56,70,26.2,0,0,0,217.7,266.517361111111,5.8,13.5,4:15 AM,43.3,40.7,41.8,54.4,52.1,53.2,-,-,-,-,-,-,
10/22/2018,0,59.2,81.0,1979,34.8,21.0,1997,44.3,4:55 PM,7:00 AM,89,44,71,20.6,0,0,2.4,320.78,182.891319444444,5.6,10.7,2:10 PM,43.5,39.7,41.5,54.3,50.8,52.5,-,-,-,-,-,-,
10/23/2018,0,56.6,81.0,1963,39.1,22.0,1969,46.8,3:30 PM,0:40 AM,91,48,72,18.2,0,0,1.8,307.33,262.152083333333,4.6,9.9,11:50 AM,44.3,40.4,42.0,55.0,51.3,52.9,-,-,-,-,-,-,
10/24/2018,0,49.5,83.0,1963,30.0,20.0,1969,38.9,3:30 PM,11:50 PM,95,52,78,26.0,0,0,0,288.72,207.350267361111,2.8,8.4,11:40 AM,43.4,39.4,41.3,53.9,50.4,52.1,-,-,-,-,-,-,
10/25/2018,0,49.9,81.0,1963,25.9,22.0,1969,38.2,3:35 PM,7:40 AM,96,59,82,26.8,0,0,0,180.52,54.4554166666667,2.0,6.4,2:50 PM,41.7,37.9,40.0,52.1,48.7,50.6,-,-,-,-,-,-,
10/26/2018,0.1,49.7,82.0,1963,40.8,22.0,1962,44.3,2:30 PM,7:50 AM,94,66,83,20.7,0,0,0,96.32,55.9629375,4.6,9.4,4:20 PM,41.9,40.3,41.0,52.3,50.8,51.5,-,-,-,-,-,-,
10/27/2018,0.15,45.4,84.0,1963,41.2,20.0,1962,44.3,11:50 AM,11:45 PM,98,93,97,20.7,0,0,0,55.93,234.462298611111,5.8,11.9,4:05 PM,42.0,41.2,41.5,52.4,51.7,52.0,-,-,-,-,-,-,
10/28/2018,0.48,48.9,78.0,1984,37.2,21.0,1976,43.8,4:35 PM,8:00 AM,97,90,94,21.1,0,0,0,66.05,213.485763888889,5.1,11.7,7:10 PM,41.2,40.3,40.9,51.8,50.8,51.2,-,-,-,-,-,-,
10/29/2018,0,53.0,77.0,1999,38.5,22.0,1965,45.1,3:30 PM,11:55 PM,96,75,89,19.9,0,0,0.5,139.11,248.516666666667,5.7,10.1,11:10 AM,42.2,39.8,41.0,52.4,50.3,51.3,-,-,-,-,-,-,
10/30/2018,0,58.7,79.0,1999,34.0,18.0,1988,47.7,11:50 PM,4:40 AM,98,57,80,17.2,0,0,2.2,140.05,119.328958333333,4.7,12.0,10:40 PM,47.1,39.1,42.7,52.4,49.6,51.1,-,-,-,-,-,-,
10/31/2018,0.04,61.7,77.0,1956,49.8,26.0,1968,56.3,11:25 AM,11:45 PM,97,56,84,8.6,0,6.3,5.7,29.34,182.998229166667,6.4,12.8,8:50 AM,48.9,46.5,47.7,54.2,52.2,53.2,-,-,-,-,-,-,
11/1/2018,1.54,49.9,77.0,1974,43.2,21.0,1993,46.0,0:00 AM,10:20 PM,97,91,96,18.9,0,0,0,24.89,98.9370625,4.6,10.6,1:25 PM,48.2,44.6,46.5,53.9,51.0,52.5,-,-,-,-,-,-,
11/2/2018,0.09,45.8,78.0,1968,41.0,22.0,1996,43.2,2:20 PM,7:50 AM,98,89,95,21.8,0,0,0,56.93,233.881454861111,3.9,10.5,2:35 AM,45.1,44.0,44.5,51.0,50.3,50.7,-,-,-,-,-,-,
11/3/2018,0.01,49.8,76.0,1961,34.0,17.0,1991,42.2,5:20 PM,11:50 PM,97,62,85,22.7,0,0,0,204.8,208.762326388889,3.3,9.7,4:50 PM,46.0,43.8,44.7,51.3,49.8,50.5,-,-,-,-,-,-,
11/4/2018,0,56.0,72.0,1961,34.2,14.0,1991,46.3,4:05 PM,0:00 AM,97,55,77,18.6,0,0,1.3,158.99,85.9969791666667,5.7,13.2,1:50 PM,46.8,43.4,44.9,50.7,48.6,49.5,-,-,-,-,-,-,
11/5/2018,0.1,57.8,74.0,1964,47.5,19.0,1991,51.7,2:35 PM,1:40 AM,94,76,88,13.3,0,1.7,3.1,120.91,156.934375,5.9,10.7,3:50 AM,49.3,46.2,47.5,52.6,50.4,51.3,-,-,-,-,-,-,
11/6/2018,0.16,57.1,72.0,1978,44.6,21.0,1967,52.0,7:55 AM,11:40 PM,96,68,82,13.0,0,1.9,2.4,73.67,195.910416666667,12.6,19.7,4:00 PM,49.2,47.0,48.6,52.6,51.3,52.3,-,-,-,-,-,-,
11/7/2018,0,45.0,75.0,1975,35.2,6.0,1991,39.6,0:25 AM,8:30 AM,86,71,80,25.4,0,0,0,231.45,238.121180555556,9.0,16.8,12:10 PM,47.0,44.7,45.7,51.3,48.8,49.7,-,-,-,-,-,-,
11/8/2018,0,41.8,69.0,1986,34.6,9.0,1991,38.1,3:25 PM,11:55 PM,87,59,75,26.8,0,0,0,118.83,203.125482638889,4.0,7.2,11:45 AM,45.9,43.7,44.6,49.4,47.7,48.5,-,-,-,-,-,-,
11/9/2018,0.22,37.7,71.0,1975,32.0,15.0,1991,35.0,4:35 AM,6:25 AM,98,74,90,30.0,0,0,0,61.38,171.197013888889,6.2,14.3,8:50 PM,44.1,41.4,42.6,48.3,46.0,46.9,-,-,-,-,-,-,
11/10/2018,0.03,32.3,76.0,1975,20.0,21.0,1973,26.3,0:00 AM,8:25 AM,96,73,82,38.7,0,0,0,104.92,236.515277777778,11.3,19.5,5:25 AM,41.4,39.1,40.1,46.0,43.3,44.4,-,-,-,-,-,-,
11/11/2018,0,41.5,69.0,1999,26.0,19.0,1996,31.8,4:05 PM,7:05 AM,88,52,75,33.2,0,0,0,213.26,154.006597222222,4.8,10.7,12:10 PM,40.9,38.4,39.4,44.5,42.6,43.4,-,-,-,-,-,-,
11/12/2018,0,39.1,71.0,1964,25.3,13.0,1986,32.9,5:05 PM,6:05 AM,92,64,80,32.1,0,0,0,68.88,89.9805555555555,0.9,5.1,11:35 PM,40.1,37.3,38.8,43.7,41.5,42.7,-,-,-,-,-,-,
11/13/2018,0,37.1,71.0,1955,25.0,12.0,1986,32.5,1:45 PM,11:45 PM,97,70,85,32.4,0,0,0,87.97,298.429166666667,4.8,9.5,8:30 AM,40.8,39.1,39.9,44.2,43.2,43.6,-,-,-,-,-,-,
11/14/2018,0,32.2,71.0,1956,17.6,13.0,1986,25.8,2:15 PM,8:00 AM,91,62,76,39.1,0,0,0,199.45,129.123493055556,3.1,7.6,1:05 AM,39.2,36.0,37.8,43.2,40.3,41.7,-,-,-,-,-,-,
11/15/2018,0.41,32.9,70.0,1971,27.2,14.0,1986,30.8,10:35 PM,0:15 AM,98,72,89,34.1,0,0,0,41.22,77.5398958333333,5.1,10.5,2:15 AM,37.6,35.8,36.6,41.6,40.3,40.7,-,-,-,-,-,-,
11/16/2018,0,36.8,72.0,1964,31.2,15.0,1967,33.7,10:05 PM,9:20 AM,96,88,92,31.3,0,0,0,30.97,225.809027777778,9.5,14.4,11:20 AM,36.7,36.0,36.3,41.0,40.4,40.7,-,-,-,-,-,-,
11/17/2018,0,40.9,70.0,1953,35.0,15.0,1959,37.3,3:10 PM,9:10 AM,95,78,89,27.7,0,0,0,89.41,194.886875,4.5,8.0,1:35 AM,39.7,36.7,38.1,43.2,41.0,41.9,-,-,-,-,-,-,
11/18/2018,0.14,37.6,71.0,1954,34.3,10.0,1959,35.4,3:40 PM,10:20 AM,97,93,96,29.5,0,0,0,43.26,143.8934375,1.5,5.5,6:50 PM,39.6,38.5,39.0,43.3,42.4,42.8,-,-,-,-,-,-,
11/19/2018,0,37.4,72.0,1975,29.5,18.0,1997,33.6,4:00 PM,8:15 AM,98,87,96,31.4,0,0,0,48.55,62.2796597222222,0.8,4.4,1:20 PM,39.2,37.7,38.6,43.1,41.9,42.6,-,-,-,-,-,-,
11/20/2018,0.02,35.2,72.0,1953,27.8,12.0,1984,31.9,3:30 PM,8:35 PM,98,63,88,33.1,0,0,0,131.44,253.767708333333,5.2,11.8,10:55 AM,39.0,37.2,38.2,42.8,41.4,42.2,-,-,-,-,-,-,
11/21/2018,0,35.3,64.0,1975,26.4,12.0,1984,31.5,3:10 PM,11:30 PM,89,73,83,33.5,0,0,0,54.59,213.130631944445,7.9,13.8,3:30 AM,37.3,36.1,36.7,41.4,40.2,40.6,-,-,-,-,-,-,
11/22/2018,0,29.8,66.0,1979,24.8,12.0,1964,27.1,2:30 PM,3:30 AM,81,65,74,37.9,0,0,0,59.51,65.9985208333333,6.4,11.9,6:00 PM,36.6,35.3,35.8,40.5,39.1,39.5,-,-,-,-,-,-,
11/23/2018,0,50.7,66.0,1999,25.6,12.0,1971,37.5,3:15 PM,6:00 AM,83,60,73,27.4,0,0,4.7,182.11,138.767708333333,6.9,10.0,3:05 PM,38.2,34.6,36.2,41.2,38.1,39.5,-,-,-,-,-,-,
11/24/2018,0.3,49.9,72.0,1999,42.0,14.0,1970,46.2,5:40 PM,4:25 AM,94,73,89,18.8,0,0,0,43.79,176.580902777778,8.7,13.5,7:35 AM,40.3,37.8,39.0,43.8,41.1,42.4,-,-,-,-,-,-,
11/25/2018,0,48.8,48.0,1973,39.5,16.0,1970,43.4,3:45 PM,8:35 PM,95,74,88,21.6,0,0,0,123.66,164.990555555556,5.4,10.6,11:25 PM,41.7,39.5,40.3,45.2,43.4,44.1,-,-,-,-,-,-,
11/26/2018,0.74,43.0,64.0,1988,29.9,16.0,1970,37.0,6:20 AM,8:25 PM,98,89,96,28.0,0,0,0,31.05,205.496076388889,5.7,15.4,5:35 AM,40.1,37.3,39.0,44.2,42.7,43.7,-,-,-,-,-,-,
11/27/2018,0,30.8,70.0,1990,26.1,13.0,1956,27.9,0:00 AM,11:55 PM,92,81,88,37.1,0,0,0,38.53,271.274652777778,7.4,12.5,4:00 PM,37.4,35.9,36.7,42.7,41.1,41.9,-,-,-,-,-,-,
11/28/2018,0,26.0,66.0,1984,23.5,8.0,1955,24.8,0:00 AM,5:50 AM,90,82,87,40.1,0,0,0,80.16,246.186111111111,9.1,12.0,1:45 PM,36.1,34.6,35.3,41.1,39.8,40.4,-,-,-,-,-,-,
11/29/2018,0,32.1,66.0,1960,23.0,7.0,1955,27.7,11:00 PM,7:20 AM,94,80,86,37.2,0,0,0,62.07,158.121875,5.5,9.5,1:55 PM,35.0,32.8,33.6,39.8,38.8,39.1,-,-,-,-,-,-,
11/30/2018,0,36.0,63.0,1991,31.3,0.0,1958,33.3,5:20 PM,0:40 AM,98,92,96,31.6,0,0,0,64.45,141.262319444444,1.9,7.2,11:30 PM,36.0,33.1,34.3,40.9,39.2,39.9,-,-,-,-,-,-,
12/1/2018,0.26,44.6,64.0,1975,33.7,9.0,1964,37.9,11:50 PM,0:00 AM,98,93,96,27.1,0,0,0,21.07,74.8620833333333,7.8,12.9,4:55 AM,35.7,34.4,34.8,41.3,40.2,40.6,-,-,-,-,-,-,
12/2/2018,0.06,62.8,65.0,1970,41.2,6.0,1966,52.3,3:50 PM,11:30 PM,99,55,84,12.7,0,2.2,4.5,167.38,188.671180555556,10.0,17.4,5:15 PM,40.2,35.7,38.0,45.9,41.3,43.7,-,-,-,-,-,-,
12/3/2018,0.04,41.5,62.0,1994,32.7,-6.0,1976,36.8,0:00 AM,11:50 PM,96,84,91,28.1,0,0,0,70.05,282.699305555556,8.3,13.9,0:50 AM,38.6,36.3,37.3,45.0,42.8,43.7,-,-,-,-,-,-,
12/4/2018,0.01,32.6,63.0,1953,28.2,-3.0,2002,29.8,0:00 AM,10:05 AM,94,80,86,35.2,0,0,0,48.82,280.989295138889,3.8,9.1,5:45 AM,36.3,34.9,35.4,42.8,40.8,41.4,-,-,-,-,-,-,
12/5/2018,0,31.7,62.0,1961,25.9,1.0,1976,28.5,3:40 PM,9:10 AM,91,77,84,36.4,0,0,0,83.05,231.515625,6.6,13.8,10:00 PM,34.9,32.7,33.8,40.8,39.0,39.8,-,-,-,-,-,-,
12/6/2018,0.01,34.7,68.0,1956,22.8,7.0,1974,29.8,1:50 PM,11:55 PM,96,78,84,35.1,0,0,0,47.89,223.738888888889,8.7,13.8,11:05 AM,32.7,31.6,32.1,39.0,37.5,38.0,-,-,-,-,-,-,
12/7/2018,0,31.7,56.0,1966,17.0,1.0,1977,24.4,4:30 PM,8:20 AM,93,64,83,40.5,0,0,0,198.66,216.736111111111,4.5,9.0,4:30 PM,32.0,30.9,31.2,37.8,36.1,36.6,-,-,-,-,-,-,
12/8/2018,0,28.4,64.0,2004,14.9,-7.0,2005,22.3,4:35 PM,9:00 AM,90,61,77,42.6,0,0,0,163.15,228.799756944444,3.6,8.8,1:50 AM,31.0,29.7,30.2,36.3,35.3,35.7,-,-,-,-,-,-,
12/9/2018,0,35.0,67.0,1966,12.2,-2.0,2005,21.6,4:30 PM,8:55 AM,94,62,84,43.4,0,0,0,197.21,113.545635416667,1.6,8.4,1:00 PM,29.8,29.1,29.3,35.3,34.6,34.9,-,-,-,-,-,-,
12/10/2018,0,25.3,54.0,1993,16.7,-7.0,1958,22.7,12:10 PM,0:55 AM,94,88,93,42.3,0,0,0,27.79,207.109375,3.4,10.1,11:35 PM,29.1,28.7,28.9,34.7,34.3,34.4,-,-,-,-,-,-,
12/11/2018,0,37.9,69.0,1971,19.1,-7.0,1977,27.2,4:00 PM,6:20 AM,92,70,85,37.8,0,0,0,168.7,205.876736111111,8.0,13.1,1:05 AM,28.8,28.5,28.6,34.3,34.0,34.1,-,-,-,-,-,-,
12/12/2018,0,40.7,61.0,1979,25.1,-8.0,1962,33.1,2:15 PM,7:00 AM,94,67,82,31.8,0,0,0,102.06,133.998368055556,5.2,12.9,1:40 PM,28.5,28.5,28.5,34.1,34.0,34.1,-,-,-,-,-,-,
12/13/2018,0,43.3,58.0,1984,27.3,-7.0,1962,35.8,5:15 PM,9:15 AM,95,66,84,29.2,0,0,0,171.12,156.974479166667,3.8,7.5,1:35 AM,29.8,28.5,28.9,35.2,34.1,34.4,-,-,-,-,-,-,
12/14/2018,0,49.8,61.0,1975,36.0,-2.0,1962,42.1,12:30 PM,2:10 AM,97,70,87,22.9,0,0,0,93.55,128.929618055556,2.4,7.8,12:20 PM,34.6,29.6,32.2,39.1,35.1,37.0,-,-,-,-,-,-,
12/15/2018,0.15,39.2,63.0,1975,34.3,-3.0,1989,37.5,3:40 PM,8:35 AM,98,85,93,27.4,0,0,0,24.38,57.45471875,4.8,11.7,6:05 PM,33.8,33.4,33.6,38.7,38.3,38.5,-,-,-,-,-,-,
12/16/2018,0,44.0,63.0,1971,31.9,-7.0,1989,37.3,4:15 PM,10:35 PM,97,87,94,27.6,0,0,0,120.34,186.291996527778,4.8,11.6,0:55 AM,35.7,33.8,34.4,40.8,38.7,39.4,-,-,-,-,-,-,
12/17/2018,0,39.8,63.0,1984,26.4,-6.0,1989,33.6,4:20 PM,11:55 PM,94,67,85,31.3,0,0,0,184.99,218.839930555555,4.8,10.2,1:20 PM,34.3,32.5,33.3,39.6,37.7,38.6,-,-,-,-,-,-,
12/18/2018,0,38.1,57.0,1984,18.8,0.0,1963,28.2,5:15 PM,8:55 AM,95,67,86,36.8,0,0,0,189.69,117.691631944444,1.7,7.5,12:35 PM,32.7,29.9,30.8,38.2,35.9,36.7,-,-,-,-,-,-,
12/19/2018,0,45.7,60.0,1967,26.0,-6.0,1963,34.1,4:35 PM,1:40 AM,93,62,81,30.8,0,0,0,147.32,160.290625,4.6,10.3,1:40 PM,31.9,29.4,30.4,36.3,35.2,35.8,-,-,-,-,-,-,
12/20/2018,0.37,44.7,60.0,1957,35.6,-6.0,1963,41.2,3:05 PM,3:05 AM,97,72,85,23.8,0,0,0,38.16,112.338246527778,3.5,7.0,9:30 PM,33.7,31.2,32.4,38.8,35.9,37.1,-,-,-,-,-,-,
12/21/2018,0.26,41.3,59.0,1967,35.3,-19.0,1989,38.7,3:40 PM,11:55 PM,98,90,95,26.2,0,0,0,33.18,310.618055555556,5.9,11.2,1:55 PM,34.1,33.4,33.7,39.7,38.8,39.2,-,-,-,-,-,-,
12/22/2018,0,35.2,65.0,1967,31.0,-17.0,1989,32.5,0:00 AM,5:45 AM,95,84,89,32.5,0,0,0,26.61,249.635069444444,5.8,11.4,3:40 PM,33.7,32.4,33.0,39.5,37.9,38.6,-,-,-,-,-,-,
12/23/2018,0,36.9,57.0,1956,29.1,-11.0,1989,33.5,2:40 PM,2:45 AM,93,83,89,31.5,0,0,0,50.15,207.086458333333,5.1,8.2,12:20 PM,33.1,31.7,32.3,38.2,37.0,37.6,-,-,-,-,-,-,
12/24/2018,0,33.8,57.0,1955,28.8,-13.0,1983,31.0,4:35 AM,11:55 PM,88,76,81,33.9,0,0,0,103.28,233.920486111111,8.0,13.0,11:10 AM,32.6,31.5,32.0,37.9,36.7,37.2,-,-,-,-,-,-,
12/25/2018,0,36.5,63.0,1964,22.9,-17.0,2004,29.4,3:25 PM,6:15 AM,94,73,86,35.5,0,0,0,111.84,133.310763888889,3.2,7.8,2:10 PM,32.3,30.0,31.1,36.9,35.5,36.2,-,-,-,-,-,-,
12/26/2018,0,46.6,58.0,1959,28.5,-10.0,1983,35.3,3:50 PM,9:10 AM,95,66,87,29.7,0,0,0,181.53,162.049305555556,3.6,7.2,4:40 PM,33.9,30.9,32.1,38.5,36.0,36.9,-,-,-,-,-,-,
12/27/2018,0.09,49.6,63.0,1959,31.4,-13.0,2004,38.9,10:55 PM,6:35 AM,93,76,86,26.1,0,0,0,43.63,105.189930555556,8.2,18.9,10:00 PM,33.8,31.3,32.2,38.7,36.2,37.0,-,-,-,-,-,-,
12/28/2018,0.01,57.6,62.0,1971,33.1,-5.0,2001,48.5,1:50 PM,11:55 PM,95,81,89,16.4,0,0,1.8,81.66,202.717361111111,11.9,17.7,1:55 AM,37.7,33.8,35.9,43.4,38.7,41.4,-,-,-,-,-,-,
12/29/2018,0,35.0,66.0,1984,31.7,-3.0,1961,32.8,12:15 PM,8:00 AM,91,77,86,32.2,0,0,0,58.05,231.379166666667,7.6,13.8,0:10 AM,35.3,33.3,34.0,41.7,39.0,39.9,-,-,-,-,-,-,
12/30/2018,0,38.1,63.0,1984,27.3,-11.0,1983,32.5,4:35 PM,9:40 AM,89,64,79,32.5,0,0,0,187.94,201.753125,8.0,14.0,1:15 PM,33.3,32.0,32.7,39.0,37.5,38.2,-,-,-,-,-,-,
12/31/2018,0.95,60.0,61.0,1972,30.8,-11.0,1983,42.2,10:40 PM,4:15 AM,98,85,92,22.7,0,0,2.5,20.84,126.473194444444,6.8,22.9,11:30 PM,36.3,31.5,32.9,41.5,36.9,38.1,-,-,-,-,-,-,
1/1/2019,0,52.4,60.0,1966,31.8,-11.0,1984,38.3,0:00 AM,11:55 PM,97,80,89,26.7,0,0,0.3,41.77,229.3245,6.0,23.0,0:20 AM,36.5,34.0,35.1,42.2,40.7,41.5,-,-,-,-,-,-,
1/2/2019,0,38.8,65.0,2000,30.1,-3.0,1968,33.6,5:45 PM,5:05 AM,98,88,94,31.3,0,0,0,37.41,136.219013888889,6.0,15.0,10:05 PM,34.0,32.9,33.4,40.6,39.2,39.8,-,-,-,-,-,-,
1/3/2019,0,35.8,61.0,2004,29.8,-5.0,1979,31.9,5:35 PM,10:45 AM,91,78,84,33.1,0,0,0,120.24,220.759375,8.8,13.5,1:55 PM,33.2,31.8,32.3,39.6,37.8,38.4,-,-,-,-,-,-,
1/4/2019,0,50.8,59.0,2000,29.9,-11.0,1981,36.8,5:45 PM,11:55 PM,94,56,81,28.1,0,0,6.3,171.18,153.515972222222,6.0,11.6,6:45 AM,33.6,30.8,31.9,39.1,36.5,37.6,-,-,-,-,-,-,
1/5/2019,0,47.5,65.0,1997,28.1,-11.0,1981,36.9,4:40 PM,8:35 AM,94,75,88,28.1,0,0,0,184.89,199.025694444445,4.5,10.8,5:10 PM,33.2,30.5,31.8,38.6,36.2,37.4,-,-,-,-,-,-,
1/6/2019,0,41.5,60.0,1998,31.5,-11.0,1981,36.0,4:20 PM,5:15 AM,97,62,83,29,0,0,0,155.55,163.8956875,4.1,8.7,0:05 AM,34.0,31.7,32.7,39.2,37.0,38.1,-,-,-,-,-,-,
1/7/2019,0,54.1,56.0,1989,33.1,-6.0,1994,41.7,9:25 PM,0:05 AM,84,50,75,23.3,0,0,0.7,67.06,129.333020833333,11.7,21.3,9:25 PM,34.9,31.9,32.9,40.3,37.4,38.2,-,-,-,-,-,-,
1/8/2019,0.12,56.1,60.0,1965,37.9,-10.0,1968,49.1,12:45 PM,11:10 PM,93,74,86,15.8,0,0,1.5,114.79,223.047222222222,10.3,17.4,5:30 PM,38.0,35.0,36.5,43.9,40.3,42.4,-,-,-,-,-,-,
1/9/2019,0,38.7,62.0,1965,22.7,-11.0,1994,28.3,0:15 AM,11:55 PM,92,65,76,36.6,0,0,0,61.85,285.148263888889,7.0,12.8,0:05 AM,35.8,31.9,33.6,42.4,37.8,39.9,-,-,-,-,-,-,
1/10/2019,0,27.2,48.0,2000,19.9,-10.0,1981,23.9,4:25 PM,2:25 AM,81,67,73,41.0,0,0,0,87.89,297.161111111111,5.0,10.8,8:30 AM,31.9,30.2,30.7,37.7,35.7,36.3,-,-,-,-,-,-,
1/11/2019,0,29.4,61.0,1975,22.8,-11.0,1984,25.0,4:50 PM,9:05 AM,87,65,77,40.0,0,0,0,157.32,206.117836805556,3.0,5.9,2:30 PM,30.8,29.7,30.1,35.8,35.1,35.4,-,-,-,-,-,-,
1/12/2019,0.03,30.2,61.0,1995,22.8,-11.0,1984,25.6,2:50 PM,0:05 AM,95,66,86,39.4,0,0,0,51.69,67.0372569444445,6.5,11.7,10:05 PM,30.2,29.4,29.6,35.5,34.7,34.9,-,-,-,-,-,-,
1/13/2019,0.04,31.0,65.0,1995,26.0,-11.0,1984,28.6,1:25 PM,0:00 AM,95,81,87,36.4,0,0,0,98.54,33.0671631944444,6.9,11.4,1:40 AM,30.3,29.7,29.9,35.2,34.7,34.8,-,-,-,-,-,-,
1/14/2019,0,27.4,67.0,1995,14.9,-16.0,1994,23.7,1:40 AM,10:25 PM,93,75,86,41.3,0,0,0,180.79,236.001302083333,4.3,8.4,11:20 PM,30.9,30.3,30.6,35.9,35.2,35.6,-,-,-,-,-,-,
1/15/2019,0,29.3,50.0,1967,15.1,-19.0,1994,23.0,11:55 PM,5:20 AM,95,86,91,42.0,0,0,0,89.02,203.436805555555,8.2,12.5,11:50 PM,30.6,30.2,30.4,35.7,35.3,35.4,-,-,-,-,-,-,
1/16/2019,0,34.8,54.0,1990,26.3,-17.0,1972,30.6,3:45 PM,11:55 PM,95,72,87,34.4,0,0,0,85.35,196.158020833333,7.9,15.4,2:00 AM,30.9,30.4,30.7,36.0,35.5,35.8,-,-,-,-,-,-,
1/17/2019,0.04,33.1,54.0,1990,23.5,-17.0,1972,28.5,11:55 PM,5:15 AM,98,83,90,36.5,0,0,0,96.76,108.903611111111,6.0,8.2,9:10 AM,30.9,30.2,30.5,36.0,35.4,35.6,-,-,-,-,-,-,
1/18/2019,0,34.7,63.0,1996,28.8,-22.0,1994,32.0,1:30 PM,11:55 PM,98,79,90,32.9,0,0,0,82.58,219.953572916667,4.0,7.6,11:45 PM,31.2,30.7,30.9,36.3,35.8,36.0,-,-,-,-,-,-,
1/19/2019,0.26,28.7,59.0,1973,17.6,-20.0,1994,25.7,0:00 AM,11:25 PM,96,84,92,39.3,0,0,0,59.46,47.2166909722222,8.8,15.3,10:20 AM,31.0,30.2,30.4,36.2,35.4,35.7,-,-,-,-,-,-,
1/20/2019,0,19.1,56.0,1954,-5.4,-15.0,1985,9.0,2:30 AM,11:55 PM,94,61,78,55.9,0,0,0,249.18,295.132743055556,8.4,17.4,7:00 AM,30.6,30.4,30.5,35.8,35.6,35.7,-,-,-,-,-,-,
1/21/2019,0,9.0,58.0,1974,-13.6,-18.0,1984,-3.9,5:10 PM,8:40 AM,88,58,75,68.8,0,0,0,267.17,190.325625,2.4,6.3,2:35 PM,30.4,29.6,29.9,35.7,34.7,35.1,-,-,-,-,-,-,
1/22/2019,0.01,39.6,52.0,1957,-7.6,-18.0,1984,16.4,11:45 PM,0:20 AM,87,46,69,48.6,0,0,0,184.34,129.887881944444,7.7,14.6,11:40 PM,29.6,29.2,29.3,34.7,34.2,34.3,-,-,-,-,-,-,
1/23/2019,0.95,44.2,59.0,1967,33.4,-18.0,1984,38.7,2:20 PM,11:55 PM,98,61,91,26.3,0,0,0,81.43,190.465625,8.9,17.7,0:20 AM,30.7,28.8,29.5,36.2,34.1,34.7,-,-,-,-,-,-,
1/24/2019,0,33.2,66.0,1967,23.5,-16.0,1963,28.2,0:00 AM,11:55 PM,96,78,85,36.7,0,0,0,44.16,270.277083333333,8.1,18.1,10:05 PM,30.6,28.8,29.6,36.2,34.5,35.4,-,-,-,-,-,-,
1/25/2019,0,24.2,62.0,1967,8.1,-10.0,2000,14.0,1:30 AM,9:15 AM,88,62,75,51.0,0,0,0,242.91,233.366319444444,12.3,18.3,4:35 AM,28.8,28.0,28.3,34.5,33.4,33.9,-,-,-,-,-,-,
1/26/2019,0.02,22.5,56.0,1967,12.8,-7.0,1961,16.5,3:15 PM,4:00 AM,94,72,83,48.5,0,0,0,203.18,141.046732638889,2.9,11.1,5:45 PM,28.2,28.0,28.1,33.4,33.0,33.1,-,-,-,-,-,-,
1/27/2019,0.04,30.9,58.0,1974,5.0,-15.0,2000,16.4,2:00 AM,11:45 PM,96,73,84,48.6,0,0,0,236.16,228.4821875,9.2,20.8,3:00 AM,28.2,28.1,28.2,33.0,33.0,33.0,-,-,-,-,-,-,
1/28/2019,0.02,39.9,62.0,1999,3.5,-12.0,2000,22.8,6:10 PM,1:00 AM,94,69,81,42.1,0,0,0,84.59,142.574756944445,9.3,17.6,11:00 PM,28.3,28.0,28.1,33.0,32.7,32.8,-,-,-,-,-,-,
1/29/2019,0,28.1,57.0,1975,4.8,-12.0,1977,14.0,0:00 AM,11:55 PM,87,58,76,50.9,0,0,0,156.76,233.001388888889,14.3,19.6,3:25 PM,28.2,27.9,28.1,32.8,32.5,32.7,-,-,-,-,-,-,
1/30/2019,0,4.7,60.0,1975,-8.7,-13.0,2003,-3.7,0:00 AM,11:30 AM,76,51,65,68.7,0,0,0,255.88,239.861111111111,14.0,21.6,10:15 AM,29.1,25.7,27.1,32.5,29.6,31.5,-,-,-,-,-,-,
1/31/2019,0,6.2,60.0,1989,-7.9,-5.0,1994,-1.1,5:10 PM,8:10 AM,75,51,65,66.0,0,0,0,265.22,230.437847222222,8.9,13.3,1:00 AM,27.1,24.0,25.5,29.6,27.2,28.1,-,-,-,-,-,-,
2/1/2019,0.02,18.9,54.0,1989,5.2,-5.0,1971,9.6,4:10 PM,2:35 AM,89,65,80,55.3,0,0,0,200.49,84.9658923611111,3.5,7.0,7:15 AM,29.3,26.0,27.6,29.7,27.8,28.6,-,-,-,-,-,-,
